gene ID,gene name,Subject sequence ID,% of identical matches,Alignment length,Mistmatches,Gap openings,Start of alignment query,End of alignment query,Start of alignment subject ,End of alignment subject,E-value,Bit score,Protein annotations
gene1003,alg9,sp|Q9H6U8|ALG9_HUMAN,57.84,204,30,2,5745,6356,340,487,4.00E-64,231,"Alpha-1,2-mannosyltransferase ALG9 OS=Homo sapiens GN=ALG9 PE=1 SV=2"
gene10032,LOC106921606,sp|Q9NR19|ACSA_HUMAN,79.31,58,12,0,13206,13379,324,381,1.00E-36,102,"Acetyl-coenzyme A synthetase, cytoplasmic OS=Homo sapiens GN=ACSS2 PE=1 SV=1"
gene10034,ndufv2,sp|P19404|NDUV2_HUMAN,84.48,58,9,0,5324,5497,100,157,7.00E-24,103,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial OS=Homo sapiens GN=NDUFV2 PE=1 SV=2"
gene10035,ankrd12,sp|Q6UB98|ANR12_HUMAN,60.59,170,13,2,40863,41372,151,266,9.00E-51,202,Ankyrin repeat domain-containing protein 12 OS=Homo sapiens GN=ANKRD12 PE=1 SV=3
gene10036,twsg1,sp|Q9GZX9|TWSG1_HUMAN,66,100,24,3,13529,13822,65,156,1.00E-33,131,Twisted gastrulation protein homolog 1 OS=Homo sapiens GN=TWSG1 PE=1 SV=1
gene10037,ralbp1,sp|Q15311|RBP1_HUMAN,67.77,121,39,0,6189,6551,233,353,7.00E-45,175,RalA-binding protein 1 OS=Homo sapiens GN=RALBP1 PE=1 SV=3
gene10038,rab31,sp|Q13636|RAB31_HUMAN,86.49,37,5,0,7185,7295,90,126,2.00E-12,69.3,Ras-related protein Rab-31 OS=Homo sapiens GN=RAB31 PE=1 SV=1
gene10039,LOC106921616,sp|Q86XI6|PPR3B_HUMAN,30,190,124,3,1438,2007,60,240,4.00E-17,82.8,Protein phosphatase 1 regulatory subunit 3B OS=Homo sapiens GN=PPP1R3B PE=1 SV=1
gene1004,fdxacb1,sp|Q9BRP7|FDXA1_HUMAN,66.67,69,23,0,1392,1598,110,178,4.00E-30,98.6,Ferredoxin-fold anticodon-binding domain-containing protein 1 OS=Homo sapiens GN=FDXACB1 PE=1 SV=3
gene10040,LOC106921618,sp|P04054|PA21B_HUMAN,40.16,122,39,2,858,1223,22,109,9.00E-12,63.2,Phospholipase A2 OS=Homo sapiens GN=PLA2G1B PE=1 SV=3
gene10041,prkab1,sp|Q9Y478|AAKB1_HUMAN,55.47,137,28,4,2018,2419,1,107,2.00E-45,134,5'-AMP-activated protein kinase subunit beta-1 OS=Homo sapiens GN=PRKAB1 PE=1 SV=4
gene10042,phf24,sp|Q9UPV7|PHF24_HUMAN,44.06,143,64,4,16648,17073,1,128,6.00E-24,109,PHD finger protein 24 OS=Homo sapiens GN=PHF24 PE=1 SV=2
gene10043,LOC106921621,sp|O14558|HSPB6_HUMAN,33.94,109,66,3,696,1022,42,144,2.00E-09,58.5,Heat shock protein beta-6 OS=Homo sapiens GN=HSPB6 PE=1 SV=2
gene10044,stbd1,sp|O95210|STBD1_HUMAN,49.53,107,53,1,3606,3926,252,357,4.00E-27,114,Starch-binding domain-containing protein 1 OS=Homo sapiens GN=STBD1 PE=1 SV=1
gene10045,LOC106921622,sp|Q8TF62|AT8B4_HUMAN,70.25,158,22,1,8528,9001,768,900,5.00E-93,229,Probable phospholipid-transporting ATPase IM OS=Homo sapiens GN=ATP8B4 PE=1 SV=3
gene10046,lpar1,sp|Q92633|LPAR1_HUMAN,87.5,256,32,0,21215,21982,10,265,7.00E-143,452,Lysophosphatidic acid receptor 1 OS=Homo sapiens GN=LPAR1 PE=1 SV=3
gene10047,musk,sp|O15146|MUSK_HUMAN,78.95,228,42,2,20617,21300,638,859,3.00E-108,370,"Muscle, skeletal receptor tyrosine-protein kinase OS=Homo sapiens GN=MUSK PE=1 SV=1"
gene10048,LOC106921624,sp|Q6ZTQ3|RASF6_HUMAN,60,35,14,0,10538,10642,221,255,1.00E-15,48.9,Ras association domain-containing protein 6 OS=Homo sapiens GN=RASSF6 PE=1 SV=1
gene10049,LOC106921627,sp|Q16099|GRIK4_HUMAN,93.59,78,5,0,285983,286216,679,756,4.00E-37,159,"Glutamate receptor ionotropic, kainate 4 OS=Homo sapiens GN=GRIK4 PE=2 SV=2"
gene1005,LOC106921376,sp|Q969M1|TM40L_HUMAN,75,36,9,0,3547,3654,228,263,3.00E-28,62.4,Mitochondrial import receptor subunit TOM40B OS=Homo sapiens GN=TOMM40L PE=1 SV=1
gene10050,LOC106921628,sp|Q9HCJ2|LRC4C_HUMAN,70.46,633,173,6,50371,52233,10,640,1.00E-99,870,Leucine-rich repeat-containing protein 4C OS=Homo sapiens GN=LRRC4C PE=1 SV=1
gene10052,apip,sp|Q96GX9|MTNB_HUMAN,57.86,140,11,1,18852,19271,151,242,1.00E-39,149,Methylthioribulose-1-phosphate dehydratase OS=Homo sapiens GN=APIP PE=1 SV=1
gene10054,LOC106921631,sp|P43004|EAA2_HUMAN,64.9,151,22,1,17009,17461,244,363,5.00E-45,175,Excitatory amino acid transporter 2 OS=Homo sapiens GN=SLC1A2 PE=1 SV=2
gene10055,LOC106921633,sp|Q6UXH9|PAMR1_HUMAN,31.73,104,54,3,15356,15664,442,529,2.00E-04,47.8,Inactive serine protease PAMR1 OS=Homo sapiens GN=PAMR1 PE=1 SV=1
gene10056,slc35c1,sp|Q96A29|FUCT1_HUMAN,71.74,184,51,1,2499,3047,179,362,1.00E-74,252,GDP-fucose transporter 1 OS=Homo sapiens GN=SLC35C1 PE=1 SV=1
gene10057,LOC106921637,sp|Q7RTR2|NLRC3_HUMAN,31.7,593,344,20,15994,17691,76,634,3.00E-73,269,Protein NLRC3 OS=Homo sapiens GN=NLRC3 PE=2 SV=2
gene10058,syne3,sp|Q6ZMZ3|SYNE3_HUMAN,54.39,114,51,1,11173,11511,101,214,2.00E-18,94.7,Nesprin-3 OS=Homo sapiens GN=SYNE3 PE=1 SV=2
gene10059,LOC106921640,sp|P28476|GBRR2_HUMAN,94.74,57,3,0,38935,39105,244,300,1.00E-43,114,Gamma-aminobutyric acid receptor subunit rho-2 OS=Homo sapiens GN=GABRR2 PE=2 SV=5
gene10060,LOC106921639,sp|Q9Y2G4|ANKR6_HUMAN,29.03,93,43,1,21561,21839,389,458,4.00E-07,57.4,Ankyrin repeat domain-containing protein 6 OS=Homo sapiens GN=ANKRD6 PE=1 SV=3
gene10061,LOC106921641,sp|P57773|CXA9_HUMAN,63.16,266,97,1,5140,5934,1,266,1.00E-107,355,Gap junction alpha-9 protein OS=Homo sapiens GN=GJA9 PE=2 SV=2
gene10062,LOC106921642,sp|Q9BYV9|BACH2_HUMAN,87.84,74,9,0,21275,21496,609,682,4.00E-32,138,Transcription regulator protein BACH2 OS=Homo sapiens GN=BACH2 PE=1 SV=1
gene10064,LOC106921645,sp|O43318|M3K7_HUMAN,67.8,59,19,0,2445,2621,102,160,3.00E-36,91.7,Mitogen-activated protein kinase kinase kinase 7 OS=Homo sapiens GN=MAP3K7 PE=1 SV=1
gene10066,daam1,sp|Q9Y4D1|DAAM1_HUMAN,43.45,145,35,5,8929,9363,296,393,5.00E-47,104,Disheveled-associated activator of morphogenesis 1 OS=Homo sapiens GN=DAAM1 PE=1 SV=2
gene10067,gpr135,sp|Q8IZ08|GP135_HUMAN,55.47,384,153,7,2354,3478,120,494,1.00E-120,387,Probable G-protein coupled receptor 135 OS=Homo sapiens GN=GPR135 PE=2 SV=2
gene1007,mia,sp|Q16674|MIA_HUMAN,51.61,62,27,1,4482,4658,30,91,2.00E-12,66.6,Melanoma-derived growth regulatory protein OS=Homo sapiens GN=MIA PE=1 SV=1
gene10070,jkamp,sp|Q9P055|JKAMP_HUMAN,74.63,67,17,0,2853,3053,102,168,2.00E-27,115,JNK1/MAPK8-associated membrane protein OS=Homo sapiens GN=JKAMP PE=2 SV=2
gene10071,LOC106921651,sp|Q8N8J7|CD032_HUMAN,53.68,95,42,2,1495,1776,39,132,1.00E-11,63.2,Uncharacterized protein C4orf32 OS=Homo sapiens GN=C4orf32 PE=2 SV=2
gene10072,lrit3,sp|Q3SXY7|LRIT3_HUMAN,61.11,126,49,0,1186,1563,39,164,6.00E-40,159,"Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 3 OS=Homo sapiens GN=LRIT3 PE=1 SV=3"
gene10073,enpep,sp|Q07075|AMPE_HUMAN,56.16,146,60,1,382,819,74,215,3.00E-33,142,Glutamyl aminopeptidase OS=Homo sapiens GN=ENPEP PE=1 SV=3
gene10074,LOC106921653,sp|Q96PX6|CC85A_HUMAN,55.62,160,65,1,323,784,17,176,1.00E-47,182,Coiled-coil domain-containing protein 85A OS=Homo sapiens GN=CCDC85A PE=2 SV=3
gene10075,ubr1,sp|Q8IWV7|UBR1_HUMAN,67.92,53,17,0,20929,21087,1080,1132,7.00E-39,74.3,E3 ubiquitin-protein ligase UBR1 OS=Homo sapiens GN=UBR1 PE=1 SV=1
gene10076,LOC106921657,sp|P54252|ATX3_HUMAN,55.56,135,10,2,2079,2483,75,159,3.00E-38,139,Ataxin-3 OS=Homo sapiens GN=ATXN3 PE=1 SV=4
gene10077,LOC106921656,sp|P01011|AACT_HUMAN,34.71,170,107,3,1687,2190,49,216,1.00E-22,102,Alpha-1-antichymotrypsin OS=Homo sapiens GN=SERPINA3 PE=1 SV=2
gene10078,LOC106921655,sp|Q9GZR7|DDX24_HUMAN,70.41,169,49,1,4014,4517,466,634,9.00E-75,241,ATP-dependent RNA helicase DDX24 OS=Homo sapiens GN=DDX24 PE=1 SV=1
gene10079,LOC106921659,sp|Q96DC9|OTUB2_HUMAN,55.56,63,28,0,3566,3754,167,229,2.00E-15,77,Ubiquitin thioesterase OTUB2 OS=Homo sapiens GN=OTUB2 PE=1 SV=2
gene1008,LOC106921386,sp|P02511|CRYAB_HUMAN,60.34,58,22,1,661,831,108,165,3.00E-24,70.9,Alpha-crystallin B chain OS=Homo sapiens GN=CRYAB PE=1 SV=2
gene10080,LOC106921663,sp|P01733|TVB1_HUMAN,29.03,93,63,3,270,542,23,114,5.00E-05,42.7,T-cell receptor beta chain V region YT35 OS=Homo sapiens GN=TRBV12-3 PE=1 SV=1
gene10081,LOC106921665,sp|P04433|KV309_HUMAN,31.91,94,56,4,629,904,24,111,4.00E-08,50.8,Ig kappa chain V-III region VG (Fragment) OS=Homo sapiens PE=1 SV=1
gene10082,LOC106921664,sp|P12018|VPREB_HUMAN,27.43,113,74,3,1037,1351,9,121,1.00E-07,51.2,Immunoglobulin iota chain OS=Homo sapiens GN=VPREB1 PE=1 SV=2
gene10083,LOC106921667,sp|P01612|KV120_HUMAN,30.53,95,57,2,353,637,3,88,2.00E-08,50.8,Ig kappa chain V-I region Mev OS=Homo sapiens PE=1 SV=1
gene10084,LOC106921666,sp|P01596|KV104_HUMAN,31.58,95,56,2,240,524,3,88,4.00E-09,53.1,Ig kappa chain V-I region CAR OS=Homo sapiens PE=1 SV=1
gene10085,LOC106921669,sp|A0A5B9|TRBC2_HUMAN,39.6,101,52,2,7860,8153,7,101,1.00E-14,76.6,T-cell receptor beta-2 chain C region OS=Homo sapiens GN=TRBC2 PE=1 SV=1
gene10086,LOC106921660,sp|P04431|KV123_HUMAN,38.14,97,51,5,254,535,23,113,2.00E-09,54.3,Ig kappa chain V-I region Walker OS=Homo sapiens PE=1 SV=1
gene10087,LOC106921661,sp|P01733|TVB1_HUMAN,29.59,98,67,2,211,501,23,119,1.00E-07,50.8,T-cell receptor beta chain V region YT35 OS=Homo sapiens GN=TRBV12-3 PE=1 SV=1
gene10088,LOC106921670,sp|P01733|TVB1_HUMAN,31.96,97,63,3,948,1238,25,118,2.00E-05,47,T-cell receptor beta chain V region YT35 OS=Homo sapiens GN=TRBV12-3 PE=1 SV=1
gene10089,papln,sp|O95428|PPN_HUMAN,48.67,113,30,1,17347,17685,281,365,3.00E-23,111,Papilin OS=Homo sapiens GN=PAPLN PE=2 SV=4
gene1009,cfap54,sp|Q96N23|CFA54_HUMAN,30.71,127,60,3,17549,17929,2029,2127,8.00E-11,69.7,Cilia- and flagella-associated protein 54 OS=Homo sapiens GN=CFAP54 PE=2 SV=3
gene10090,LOC106921672,sp|P49768|PSN1_HUMAN,90.41,73,7,0,7561,7779,184,256,2.00E-34,140,Presenilin-1 OS=Homo sapiens GN=PSEN1 PE=1 SV=1
gene10091,erh,sp|P84090|ERH_HUMAN,100,41,0,0,1644,1766,31,71,3.00E-21,89.7,Enhancer of rudimentary homolog OS=Homo sapiens GN=ERH PE=1 SV=1
gene10092,LOC106921674,sp|Q9NZM4|GSCR1_HUMAN,36.89,122,45,4,6294,6563,338,459,4.00E-06,53.9,Glioma tumor suppressor candidate region gene 1 protein OS=Homo sapiens GN=GLTSCR1 PE=1 SV=2
gene10093,exd2,sp|Q9NVH0|EXD2_HUMAN,51.76,170,62,4,4965,5426,385,550,5.00E-32,134,Exonuclease 3'-5' domain-containing protein 2 OS=Homo sapiens GN=EXD2 PE=1 SV=2
gene10094,numb,sp|P49757|NUMB_HUMAN,53.06,147,53,6,13072,13488,513,651,2.00E-28,124,Protein numb homolog OS=Homo sapiens GN=NUMB PE=1 SV=2
gene10095,znf423,sp|Q2M1K9|ZN423_HUMAN,77.72,184,36,3,110599,111150,560,738,2.00E-72,273,Zinc finger protein 423 OS=Homo sapiens GN=ZNF423 PE=1 SV=1
gene10096,LOC106921679,sp|Q9HCD5|NCOA5_HUMAN,32.88,73,48,1,8456,8671,210,282,1.00E-05,51.2,Nuclear receptor coactivator 5 OS=Homo sapiens GN=NCOA5 PE=1 SV=2
gene10097,cnot1,sp|A5YKK6|CNOT1_HUMAN,75.29,170,13,1,27909,28418,1879,2019,6.00E-62,239,CCR4-NOT transcription complex subunit 1 OS=Homo sapiens GN=CNOT1 PE=1 SV=2
gene1010,LOC106921413,sp|Q155Q3|DIXC1_HUMAN,86.84,38,5,0,11442,11555,621,658,1.00E-12,73.9,Dixin OS=Homo sapiens GN=DIXDC1 PE=1 SV=2
gene10100,setd6,sp|Q8TBK2|SETD6_HUMAN,45,140,46,2,2104,2523,155,263,3.00E-22,102,N-lysine methyltransferase SETD6 OS=Homo sapiens GN=SETD6 PE=1 SV=2
gene10103,bbs2,sp|Q9BXC9|BBS2_HUMAN,56.29,151,34,1,894,1346,43,161,2.00E-39,159,Bardet-Biedl syndrome 2 protein OS=Homo sapiens GN=BBS2 PE=1 SV=1
gene10104,b3gnt9,sp|Q6UX72|B3GN9_HUMAN,65.96,94,31,1,5595,5873,307,400,1.00E-31,129,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9 OS=Homo sapiens GN=B3GNT9 PE=2 SV=1"
gene10105,LOC106921684,sp|Q9BSU1|CP070_HUMAN,69.81,53,16,0,6702,6860,219,271,1.00E-29,82.4,UPF0183 protein C16orf70 OS=Homo sapiens GN=C16orf70 PE=1 SV=1
gene10106,cbfb,sp|Q13951|PEBB_HUMAN,76,50,12,0,26478,26627,94,143,1.00E-18,88.2,Core-binding factor subunit beta OS=Homo sapiens GN=CBFB PE=1 SV=2
gene10108,LOC106921688,sp|Q86VH4|LRRT4_HUMAN,67.66,501,150,7,12901,14397,30,520,1.00E-99,632,Leucine-rich repeat transmembrane neuronal protein 4 OS=Homo sapiens GN=LRRTM4 PE=2 SV=2
gene1011,dlat,sp|P10515|ODP2_HUMAN,85.71,49,7,0,7987,8133,558,606,2.00E-60,94,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial OS=Homo sapiens GN=DLAT PE=1 SV=3"
gene10112,LOC106921690,sp|Q96KR7|PHAR3_HUMAN,90.2,51,5,0,37965,38117,482,532,6.00E-27,100,Phosphatase and actin regulator 3 OS=Homo sapiens GN=PHACTR3 PE=1 SV=1
gene10113,pigt,sp|Q969N2|PIGT_HUMAN,56.64,143,33,2,4728,5153,464,578,1.00E-59,145,GPI transamidase component PIG-T OS=Homo sapiens GN=PIGT PE=1 SV=1
gene10115,LOC106921695,sp|O15405|TOX3_HUMAN,93.75,48,3,0,102729,102872,259,306,3.00E-20,101,TOX high mobility group box family member 3 OS=Homo sapiens GN=TOX3 PE=1 SV=2
gene10116,LOC106921694,sp|Q8MH63|LAT1N_HUMAN,71.53,144,41,0,963,1394,36,179,1.00E-58,201,Putative L-type amino acid transporter 1-like protein MLAS OS=Homo sapiens GN=SLC7A5P1 PE=5 SV=1
gene10117,LOC106921699,sp|Q8N987|NECA1_HUMAN,40.74,135,55,3,20414,20818,120,229,2.00E-18,90.9,N-terminal EF-hand calcium-binding protein 1 OS=Homo sapiens GN=NECAB1 PE=1 SV=1
gene10118,alas2,sp|P13196|HEM1_HUMAN,81.72,93,17,0,5671,5949,444,536,2.00E-42,167,"5-aminolevulinate synthase, nonspecific, mitochondrial OS=Homo sapiens GN=ALAS1 PE=1 SV=2"
gene10119,ttc34,sp|A8MYJ7|TTC34_HUMAN,41.49,94,54,1,5755,6036,229,321,1.00E-12,73.6,Tetratricopeptide repeat protein 34 OS=Homo sapiens GN=TTC34 PE=2 SV=2
gene1012,LOC106921446,sp|Q5DX21|IGS11_HUMAN,36.23,69,44,0,4190,4396,137,205,1.00E-04,46.6,Immunoglobulin superfamily member 11 OS=Homo sapiens GN=IGSF11 PE=2 SV=3
gene10120,LOC106921698,sp|P19438|TNR1A_HUMAN,39.29,84,48,1,11236,11478,358,441,2.00E-10,66.2,Tumor necrosis factor receptor superfamily member 1A OS=Homo sapiens GN=TNFRSF1A PE=1 SV=1
gene10121,LOC106921701,sp|Q5T0B9|ZN362_HUMAN,90.91,77,7,0,10350,10580,228,304,2.00E-42,154,Zinc finger protein 362 OS=Homo sapiens GN=ZNF362 PE=1 SV=1
gene10122,LOC106921700,sp|Q5VVM6|CCD30_HUMAN,49.06,53,27,0,10736,10894,240,292,1.00E-06,55.5,Coiled-coil domain-containing protein 30 OS=Homo sapiens GN=CCDC30 PE=2 SV=1
gene10123,sox6,sp|P35712|SOX6_HUMAN,83.54,79,13,0,89383,89619,578,656,8.00E-34,146,Transcription factor SOX-6 OS=Homo sapiens GN=SOX6 PE=1 SV=3
gene10125,LOC106921704,sp|P10092|CALCB_HUMAN,78,50,11,0,2040,2189,74,123,1.00E-19,85.5,Calcitonin gene-related peptide 2 OS=Homo sapiens GN=CALCB PE=1 SV=1
gene10126,LOC106921706,sp|Q6VVX0|CP2R1_HUMAN,61.79,301,80,1,1442,2344,75,340,2.00E-119,384,Vitamin D 25-hydroxylase OS=Homo sapiens GN=CYP2R1 PE=1 SV=1
gene10127,pde3b,sp|Q13370|PDE3B_HUMAN,50.16,317,122,8,2353,3204,14,327,2.00E-59,229,"cGMP-inhibited 3',5'-cyclic phosphodiesterase B OS=Homo sapiens GN=PDE3B PE=1 SV=2"
gene10128,copb1,sp|P53618|COPB_HUMAN,76.72,116,2,1,8891,9238,764,854,4.00E-72,182,Coatomer subunit beta OS=Homo sapiens GN=COPB1 PE=1 SV=3
gene10129,ctbp2,sp|P56545|CTBP2_HUMAN,100,70,0,0,105798,106007,120,189,5.00E-35,144,C-terminal-binding protein 2 OS=Homo sapiens GN=CTBP2 PE=1 SV=1
gene1013,pcnxl3,sp|Q9H6A9|PCX3_HUMAN,79.49,78,16,0,23004,23237,1652,1729,9.00E-58,144,Pecanex-like protein 3 OS=Homo sapiens GN=PCNXL3 PE=1 SV=2
gene10130,zranb1,sp|Q9UGI0|ZRAN1_HUMAN,62.23,278,94,5,2146,2964,1,272,1.00E-102,348,Ubiquitin thioesterase ZRANB1 OS=Homo sapiens GN=ZRANB1 PE=1 SV=2
gene10131,hpdl,sp|Q96IR7|HPDL_HUMAN,33.19,229,106,4,94,768,1,186,1.00E-29,122,4-hydroxyphenylpyruvate dioxygenase-like protein OS=Homo sapiens GN=HPDL PE=1 SV=1
gene10132,LOC106921712,sp|Q14153|FA53B_HUMAN,47.08,274,108,8,10399,11151,43,302,1.00E-38,152,Protein FAM53B OS=Homo sapiens GN=FAM53B PE=1 SV=2
gene10133,lhpp,sp|Q9H008|LHPP_HUMAN,60.34,58,23,0,943,1116,99,156,2.00E-27,82.4,Phospholysine phosphohistidine inorganic pyrophosphate phosphatase OS=Homo sapiens GN=LHPP PE=1 SV=2
gene10134,oat,sp|P04181|OAT_HUMAN,76.62,77,18,0,2492,2722,66,142,1.00E-72,132,"Ornithine aminotransferase, mitochondrial OS=Homo sapiens GN=OAT PE=1 SV=1"
gene10137,LOC106921719,sp|P05543|THBG_HUMAN,40.83,169,97,2,423,923,42,209,6.00E-34,134,Thyroxine-binding globulin OS=Homo sapiens GN=SERPINA7 PE=1 SV=2
gene10138,LOC106921720,sp|Q96JQ2|CLMN_HUMAN,55.38,65,29,0,4597,4791,203,267,3.00E-36,83.2,Calmin OS=Homo sapiens GN=CLMN PE=1 SV=1
gene10139,prkrip1,sp|Q9H875|PKRI1_HUMAN,74.51,102,26,0,139,444,16,117,2.00E-49,162,PRKR-interacting protein 1 OS=Homo sapiens GN=PRKRIP1 PE=1 SV=1
gene1014,LOC106921480,sp|Q9P2S2|NRX2A_HUMAN,71.63,141,35,1,101062,101484,846,981,3.00E-72,223,Neurexin-2 OS=Homo sapiens GN=NRXN2 PE=2 SV=1
gene10140,glrx5,sp|Q86SX6|GLRX5_HUMAN,83.33,54,9,0,1695,1856,96,149,7.00E-24,99.8,"Glutaredoxin-related protein 5, mitochondrial OS=Homo sapiens GN=GLRX5 PE=1 SV=2"
